Date,A,B,C,D,E,F,G
01-01-2022,0,10,20,30,40,50,60
02-01-2022,1,11,21,31,41,51,61
03-01-2022,2,12,22,32,42,52,62
04-01-2022,3,13,23,33,43,53,63
05-01-2022,4,14,24,34,44,54,64
06-01-2022,5,15,25,35,45,55,65
07-01-2022,6,16,26,36,46,56,66
08-01-2022,7,17,27,37,47,57,67
09-01-2022,8,18,28,38,48,58,68
10-01-2022,9,19,29,39,49,59,69
11-01-2022,10,20,30,40,50,60,70
12-01-2022,11,21,31,41,51,61,71
13-01-2022,12,22,32,42,52,62,72
14-01-2022,13,23,33,43,53,63,73
15-01-2022,14,24,34,44,54,64,74
16-01-2022,15,25,35,45,55,65,75
17-01-2022,16,26,36,46,56,66,76
18-01-2022,17,27,37,47,57,67,77
19-01-2022,18,28,38,48,58,68,78
20-01-2022,19,29,39,49,59,69,79
21-01-2022,20,30,40,50,60,70,80
22-01-2022,21,31,41,51,61,71,81
23-01-2022,22,32,42,52,62,72,82
24-01-2022,23,33,43,53,63,73,83
25-01-2022,24,34,44,54,64,74,84
26-01-2022,25,35,45,55,65,75,85
27-01-2022,26,36,46,56,66,76,86
28-01-2022,27,37,47,57,67,77,87
29-01-2022,28,38,48,58,68,78,88
30-01-2022,29,39,49,59,69,79,89
31-01-2022,30,40,50,60,70,80,90
01-02-2022,31,41,51,61,71,81,91
02-02-2022,32,42,52,62,72,82,92
03-02-2022,33,43,53,63,73,83,93
04-02-2022,34,44,54,64,74,84,94
05-02-2022,35,45,55,65,75,85,95
06-02-2022,36,46,56,66,76,86,96
07-02-2022,37,47,57,67,77,87,97
08-02-2022,38,48,58,68,78,88,98
09-02-2022,39,49,59,69,79,89,99
10-02-2022,40,50,60,70,80,90,100
11-02-2022,41,51,61,71,81,91,101
12-02-2022,42,52,62,72,82,92,102
13-02-2022,43,53,63,73,83,93,103
14-02-2022,44,54,64,74,84,94,104
15-02-2022,45,55,65,75,85,95,105
16-02-2022,46,56,66,76,86,96,106
17-02-2022,47,57,67,77,87,97,107
18-02-2022,48,58,68,78,88,98,108
19-02-2022,49,59,69,79,89,99,109
20-02-2022,50,60,70,80,90,100,110
21-02-2022,51,61,71,81,91,101,111
22-02-2022,52,62,72,82,92,102,112
23-02-2022,53,63,73,83,93,103,113
24-02-2022,54,64,74,84,94,104,114
25-02-2022,55,65,75,85,95,105,115
26-02-2022,56,66,76,86,96,106,116
27-02-2022,57,67,77,87,97,107,117
28-02-2022,58,68,78,88,98,108,118
